measure_name,overall_rank_mean,overall_rank_std,rank_generalization_score,bootstrap_ci_low,bootstrap_ci_high,final_rank
Gradient Squared Energy,11.71,6.842579922806894,10.24977397684207,9.92975,13.46025,1
Squared Gradient,11.75,6.867495904622004,10.285248771386602,9.93975,13.530249999999999,2
Energy of Gradient,11.97,6.609394828575457,10.361818448572636,10.24975,13.710499999999998,3
Brenner Gradient,11.75,7.257582242041767,10.402274672612531,9.82975,13.7,4
Tenengrad,12.19,6.617318187906639,10.518195456371991,10.44,13.950499999999996,5
Variance of Gradient,11.74,8.719082520540795,10.833724756162239,9.479500000000002,14.25025,6
Roberts Focus Measure,13.55,6.672518265242891,11.486755479572867,11.75975,15.450249999999999,7
Modified Tenengrad,13.03,9.764430346927567,12.05032910407827,10.399750000000001,15.700999999999993,8
Spatial Frequency,15.11,5.92308196802982,12.353924590408944,13.53,16.700249999999997,9
DCT Focus Measure,16.75,6.614567257198312,13.709370177159494,14.97,18.5,10
