measure_name,equal_dataset_rank,per_stack_rank,equal_dataset_score,per_stack_score
Absolute Central Moment 2,20,27,0.20869570014474065,0.22728752592605247
Absolute Central Moment 4,18,24,0.20526013432057866,0.20119158040306442
Brenner Gradient,6,4,0.10969771518476504,0.08678981620306958
Curvelet Transform Sharpness Index,14,15,0.17962379175672377,0.1133585279966447
DCT Focus Measure,10,21,0.15180337668350694,0.12631063610164617
Energy of Gradient,4,5,0.10681720936610134,0.0871688687728158
Fourier High Frequency Energy Ratio,21,8,0.21394224581274932,0.09247429749097377
Fourier Transform Sharpness Index,8,14,0.1282247546775048,0.10682761423618484
GLCM Contrast,29,22,0.3339900512788854,0.16990808178803748
Gradient Squared Energy,2,1,0.10584065091066588,0.08593778082810052
Histogram Entropy,32,30,0.34482711571671887,0.2404952069816989
Image Power,26,23,0.282605406094417,0.19752002452062675
Intensity Range Index,22,25,0.23761749582467942,0.22001603383586144
Intensity Skewness Index,30,31,0.33804114204953795,0.24306738448181453
Intensity Variance,19,28,0.20855226485493475,0.22735594700784068
