measure_name,overall_rank_mean,bootstrap_ci_low,bootstrap_ci_high,rank_generalization_score,final_rank
Gradient Squared Energy,11.71,9.92975,13.46025,10.24977397684207,1
Squared Gradient,11.75,9.93975,13.530249999999999,10.285248771386602,2
Energy of Gradient,11.97,10.24975,13.710499999999998,10.361818448572636,3
Brenner Gradient,11.75,9.82975,13.7,10.402274672612531,4
Tenengrad,12.19,10.44,13.950499999999996,10.518195456371991,5
Variance of Gradient,11.74,9.479500000000002,14.25025,10.833724756162239,6
Roberts Focus Measure,13.55,11.75975,15.450249999999999,11.486755479572867,7
Modified Tenengrad,13.03,10.399750000000001,15.700999999999993,12.05032910407827,8
Spatial Frequency,15.11,13.53,16.700249999999997,12.353924590408944,9
DCT Focus Measure,16.75,14.97,18.5,13.709370177159494,10
