measure_name,rank_based_final_rank,rank_based_score,value_based_final_rank,value_based_score
Absolute Central Moment 2,24,15.664664666585942,20,0.20869570014474065
Absolute Central Moment 4,25,15.918522440224194,18,0.20526013432057866
Brenner Gradient,4,10.402274672612531,6,0.10969771518476504
Curvelet Transform Sharpness Index,13,14.297201177002774,14,0.17962379175672377
DCT Focus Measure,10,13.709370177159494,10,0.15180337668350694
Energy of Gradient,3,10.361818448572636,4,0.10681720936610134
Fourier High Frequency Energy Ratio,15,14.357066074880244,21,0.21394224581274932
Fourier Transform Sharpness Index,11,13.7828903239541,8,0.1282247546775048
GLCM Contrast,28,16.14286581638336,29,0.3339900512788854
Gradient Squared Energy,1,10.24977397684207,2,0.10584065091066588
Histogram Entropy,32,17.96,32,0.34482711571671887
Image Power,29,16.21248330941855,26,0.282605406094417
Intensity Range Index,20,15.345616871842306,22,0.23761749582467942
Intensity Skewness Index,27,16.05770943174201,30,0.33804114204953795
Intensity Variance,23,15.580297139393782,19,0.20855226485493475
Laplacian Energy,22,15.561683051045266,25,0.2761455845155937
Maximal Intensity,31,16.75404767342436,31,0.3442896738433553
Mean Absolute Laplacian,30,16.559730925146397,27,0.2906931804267344
Mean Intensity,26,15.934755721719103,28,0.3092327997418083
Modified Tenengrad,8,12.05032910407827,7,0.11683166569691544
Normalized Variance,21,15.535694595264127,17,0.20406596372184838
Roberts Focus Measure,7,11.486755479572867,9,0.13921879718263058
Spatial Frequency,9,12.353924590408944,11,0.1542812030557605
Squared Gradient,2,10.285248771386602,3,0.10587024391532437
Sum Modified Laplacian,19,15.11514962761588,23,0.267038090939282
Tenengrad,5,10.518195456371991,5,0.10689891001357385
Variance of Gradient,6,10.833724756162239,1,0.10226159618718453
Variance of Laplacian,17,14.650604214027231,24,0.27188937187713935
Wavelet Detail Energy (db1),14,14.304660103483918,13,0.17947748932870253
Wavelet W1,12,14.260924608410196,12,0.17942523424883805
Wavelet W2,18,14.71893641054258,16,0.18088937553300746
Wavelet W3,16,14.610406205548774,15,0.18028511568123187
