dataset,voter,n_stacks,mean_peak_index,median_peak_index,peak_index_std,endpoint_vote_rate
WBC,Normalized Variance,25773,7.580452411438327,8.0,0.5913417085675335,0.0
WBC,Histogram Entropy,25773,6.646568113917666,7.0,1.5592588396533815,0.0
WBC,GLCM Contrast,25773,5.390680169169285,5.0,0.81923016671917,0.0
WBC,Fourier Transform Sharpness Index,25773,5.568812322973654,5.0,0.7588434467027199,0.0
TBI,Normalized Variance,30,5.033333333333333,5.0,0.4818944098266987,0.0
TBI,Histogram Entropy,30,5.033333333333333,5.0,0.5467073155618909,0.0
TBI,GLCM Contrast,30,3.433333333333333,2.5,2.403931964280372,0.0
TBI,Fourier Transform Sharpness Index,30,5.066666666666666,5.0,0.5120763831912405,0.0
PBS,Normalized Variance,77,7.337662337662338,7.0,3.1359266722575567,0.0
PBS,Histogram Entropy,77,7.337662337662338,7.0,5.057103502404919,0.0
PBS,GLCM Contrast,77,5.9480519480519485,7.0,2.9360991167321693,0.0
PBS,Fourier Transform Sharpness Index,77,5.545454545454546,6.0,2.916791755343151,0.0
BMA,Normalized Variance,38,5.815789473684211,7.0,2.9545260832714444,0.0
BMA,Histogram Entropy,38,5.394736842105263,1.5,4.928645985109642,0.0
BMA,GLCM Contrast,38,6.026315789473684,7.0,2.933354843369468,0.0
BMA,Fourier Transform Sharpness Index,38,5.7631578947368425,7.0,2.8785432218975644,0.0
TBF,Normalized Variance,182,5.884615384615385,6.0,1.0445487039521657,0.0
TBF,Histogram Entropy,182,7.0,7.0,0.0,0.0
TBF,GLCM Contrast,182,8.868131868131869,12.0,4.584275060330111,0.0
TBF,Fourier Transform Sharpness Index,182,5.868131868131868,6.0,1.0763061700193792,0.0
