measure_name,original_rank_based_rank,gradient_free_rank_based_rank,rank_delta,original_value_rank,gradient_free_value_rank,value_rank_delta,family
Tenengrad,5,5,0,5,5,0,gradient
Brenner Gradient,4,1,-3,6,6,0,gradient
Variance of Laplacian,17,18,1,24,24,0,laplacian
Sum Modified Laplacian,19,21,2,23,23,0,laplacian
Normalized Variance,21,19,-2,17,17,0,statistical
Energy of Gradient,3,3,0,4,2,-2,gradient
Histogram Entropy,32,32,0,32,31,-1,entropy
GLCM Contrast,28,27,-1,29,29,0,texture
Variance of Gradient,6,6,0,1,1,0,gradient
Fourier Transform Sharpness Index,11,11,0,8,8,0,frequency
Fourier High Frequency Energy Ratio,15,15,0,21,21,0,frequency
Roberts Focus Measure,7,7,0,9,9,0,gradient
Wavelet W1,12,12,0,12,12,0,wavelet
Wavelet W2,18,17,-1,16,16,0,wavelet
Wavelet W3,16,16,0,15,15,0,wavelet
Wavelet Detail Energy (db1),14,14,0,13,13,0,wavelet
Curvelet Transform Sharpness Index,13,13,0,14,14,0,wavelet_alias
DCT Focus Measure,10,10,0,10,10,0,frequency
Intensity Skewness Index,27,28,1,30,30,0,statistical
Squared Gradient,2,4,2,3,4,1,gradient
Gradient Squared Energy,1,2,1,2,3,1,gradient
Mean Intensity,26,26,0,28,28,0,statistical
Intensity Variance,23,20,-3,19,18,-1,statistical
Intensity Range Index,20,23,3,22,22,0,statistical
Maximal Intensity,31,30,-1,31,32,1,statistical
Laplacian Energy,22,24,2,25,25,0,laplacian
Mean Absolute Laplacian,30,31,1,27,27,0,laplacian
Spatial Frequency,9,9,0,11,11,0,gradient
Modified Tenengrad,8,8,0,7,7,0,gradient
Absolute Central Moment 2,24,22,-2,20,19,-1,statistical
Absolute Central Moment 4,25,25,0,18,20,2,statistical
Image Power,29,29,0,26,26,0,statistical
